's-Hertogenbosch		NL	06	8
‘Ajlūn	'Ajlun	JO	20	8
‘Amrān	'Amran	YE	19	6
'Ali Sabieh		DJ	01	3
‘Ayn al ‘Arab	'Ayn al 'Arab	SY	09	3
’Aïn el Turk	'Ain el Turk	DZ	09	3
’Aïn el Melh	'Ain el Melh	DZ	27	2
’Aïn Deheb	'Ain Deheb	DZ	13	2
’Aïn Merane	'Ain Merane	DZ	51	2
’Aïn el Bell	'Ain el Bell	DZ	22	2
’Aïn Benian	'Ain Benian	DZ	55	2
’Aïn Abid	'Ain Abid	DZ	04	1
’Aïn el Hammam	'Ain el Hammam	DZ	14	1
‘Anah	'Anah	IQ	01	1
‘Aqrah	'Aqrah	IQ	15	1
‘Ewa Gentry	'Ewa Gentry	US	HI	1
‘Afak	'Afak	IQ	04	1
‘Anat al Qadīmah	'Anat al Qadimah	IQ	01	1
‘Alī al Gharbī	'Ali al Gharbi	IQ	14	1
's-Gravenzande		NL	11	1
’Aïn el Berd	'Ain el Berd	DZ	30	1
