Wuhan		CN	12	652
Wuxi		CN	04	236
Warsaw		PL	78	113
Wenzhou		CN	02	57
Wrocław	Wroclaw	PL	72	42
Winnipeg		CA	03	42
Washington, D.C.		US	DC	40
Warangal		IN	40	37
Warri		NG	36	35
Wuhu		CN	01	33
Wuwei		CN	15	32
Wenshan City		CN	29	30
Welkom		ZA	03	28
Wandsbek		DE	04	27
West Jerusalem		IL	06	26
Weifang		CN	25	26
Wichita		US	KS	25
Wellington		NZ	G2	25
Wuppertal		DE	07	24
Wakayama		JP	43	23
West Raleigh		US	NC	22
Wad Medani		SD	38	22
Wŏnsan	Wonsan	KP	09	21
Wusong		CN	01	20
Winejok		SS	11550582	20
Wollongong		AU	02	19
Windsor		CA	08	18
Wiesbaden		DE	05	18
Windhoek		NA	21	17
Wuzhou		CN	16	17
Witbank		ZA	07	17
Wolverhampton		GB	ENG	16
Woodlands		SG	03	16
Wafangdian		CN	19	16
Wŏnju	Wonju	KR	06	16
Winston-Salem		US	NC	16
Wuxue		CN	12	14
Wuhai		CN	20	14
Wanxian		CN	33	12
Worcester		US	MA	12
Wādī as Sīr	Wadi as Sir	JO	16	12
Wigan		GB	ENG	11
Weinan		CN	26	11
Walsall		GB	ENG	11
Warrington		GB	ENG	11
Westonaria		ZA	06	10
Washington Heights		US	NY	10
Weihai		CN	25	10
Wola		PL	78	9
Weru		ID	30	9
West Valley City		US	UT	9
West Bromwich		GB	ENG	9
Warren		US	MI	8
Würzburg	Wuerzburg	DE	02	8
Waco		US	TX	8
Wuda		CN	20	8
Worcester		ZA	11	8
Wałbrzych	Walbrzych	PL	72	8
Wau		SS	11550565	8
Watford		GB	ENG	8
Willemstad		CW		8
Wolfsburg		DE	06	8
Włocławek	Wloclawek	PL	73	8
Wilmington		US	NC	7
Wenchang		CN	31	7
Wardha		IN	16	7
Westminster		US	CO	7
West Jordan		US	UT	7
Waterbury		US	CT	7
West Covina		US	CA	7
West Palm Beach		US	FL	7
Wichita Falls		US	TX	6
Wuchuan		CN	30	6
Woking		GB	ENG	6
Wazirabad		PK	04	6
Worcester		GB	ENG	6
Witten		DE	07	6
Worthing		GB	ENG	6
Waterloo		CA	08	6
Wabu		KR	13	6
Wuchang		CN	08	6
Wilmersdorf	Wilmersdorf Bezirk	DE	16	6
West Albany		US	NY	6
Wonosobo		ID	07	6
Wukari		NG	43	6
Westminster		US	CA	6
Winterthur		CH	ZH	6
Warmbaths		ZA	09	6
Wembley		GB	ENG	6
Wangqing		CN	05	5
Waukegan		US	IL	5
Whittier		US	CA	5
West Town		US	IL	5
Wilhelmshaven		DE	06	5
Wanju		KR	03	5
Weston-super-Mare		GB	ENG	5
Westland		US	MI	5
Warwick		US	RI	5
Watampone		ID	38	5
Worms		DE	08	5
Willowdale		CA	08	5
Wuyang		CN	01	5
Wakefield		GB	ENG	5
Wedding	Wedding Bezirk	DE	16	5
Wa		GH	11	5
Wako		JP	34	5
Waterford		US	MI	5
Wyoming		US	MI	5
Warner Robins		US	GA	4
West Ridge		US	IL	4
Waukesha		US	WI	4
Wilmington		US	DE	4
West Gulfport		US	MS	4
Woodland Hills		US	CA	4
Weston		US	FL	4
Wangkui		CN	08	4
Walnut Creek		US	CA	4
Wum		CM	07	4
Wāshīm	Washim	IN	16	4
Waterloo		US	IA	4
Woodbury		US	MN	4
Waldorf		US	MD	4
Wenling		CN	02	4
Wacheng		CN	09	4
White Rock		CA	02	4
Wuxi		CN	11	4
Wrexham		GB	WLS	4
West Lynchburg		US	VA	4
Wanning		CN	31	4
Weimar		DE	15	4
West Bloomfield Township		US	MI	4
Waterlooville		GB	ENG	4
West Des Moines		US	IA	4
Waltham		US	MA	4
West Hartford		US	CT	4
Wawer		PL	78	4
Wellington		US	FL	4
West Coon Rapids		US	MN	4
Wesel		DE	07	4
Widnes		GB	ENG	4
West Hollywood		US	FL	4
West Allis		US	WI	4
Wucheng		CN	01	4
Wuzhen		CN	02	4
Welwyn Garden City		GB	ENG	3
Wenshang		CN	25	3
Wallasey		GB	ENG	3
Woodland		US	CA	3
White Plains		US	NY	3
Weleri		ID	07	3
Wayne		US	NJ	3
Weymouth		GB	ENG	3
Wani		IN	16	3
Wenxing		CN	11	3
Weining		CN	18	3
Wellington		ZA	11	3
Wedi		ID	07	3
Wanparti		IN	40	3
West Haven		US	CT	3
Wolfenbüttel	Wolfenbuettel	DE	06	3
Weymouth		US	MA	3
Wokha		IN	20	3
Wheaton		US	IL	3
Watsonville		US	CA	3
Washington		GB	ENG	3
West New York		US	NJ	3
Waiblingen		DE	01	3
West Sacramento		US	CA	3
Wulingyuan		CN	11	3
Wetzlar		DE	05	3
Wakefield		US	NY	3
Walvis Bay		NA	29	3
Willich		DE	07	3
Winterhude		DE	04	3
Whangarei		NZ	F6	3
Wellingborough		GB	ENG	3
Welland		CA	08	3
Whitman		US	PA	3
Wharton		US	PA	3
Wilson		US	NC	3
Wodzisław Śląski	Wodzislaw Slaski	PL	83	3
Wolmaransstad		ZA	10	3
Waingapu		ID	18	3
Weert		NL	05	3
Woerden		NL	09	3
West Bridgford		GB	ENG	3
Wheaton		US	MD	3
West Orange		US	NJ	3
Waterford		IE	M	3
Warud		IN	16	3
Wānkāner	Wankaner	IN	09	3
Weißensee	Weissensee	DE	16	3
Wauwatosa		US	WI	3
Wejherowo		PL	82	3
Wylie		US	TX	3
Winchester		GB	ENG	3
Wajir		KE	54	3
Waalwijk		NL	06	3
West Lafayette		US	IN	3
Wismar		DE	12	3
Wiener Neustadt		AT	03	2
West Seneca		US	NY	2
West End		CA	02	2
Winneba		GH	04	2
Wesley Chapel		US	FL	2
Weinheim		DE	01	2
Worksop		GB	ENG	2
West Babylon		US	NY	2
Warin Chamrap		TH	75	2
Wattrelos		FR	32	2
Wallsend		GB	ENG	2
Wakema		MM	03	2
West Vancouver		CA	02	2
Wesselsbron		ZA	03	2
Weiden		DE	02	2
Welling		GB	ENG	2
Wunstorf		DE	06	2
Woodside		US	NY	2
Westfield		US	MA	2
Wakkanai		JP	12	2
Warora		IN	16	2
Woonsocket		US	RI	2
West Hills		US	CA	2
Welisara		LK	36	2
Wokingham		GB	ENG	2
Wilkes-Barre		US	PA	2
Woodstock		CA	08	2
Winter Garden		US	FL	2
Wanganui		NZ	F3	2
Warren		US	OH	2
Werribee		AU	07	2
Woburn		US	MA	2
Weslaco		US	TX	2
Wiradesa		ID	07	2
Wichian Buri		TH	14	2
Wausau		US	WI	2
Warendorf		DE	07	2
Wichit		TH	62	2
Whitney		US	NV	2
Westend		DE	16	2
Wonopringgo		ID	07	2
Waliso		ET	51	2
Westerville		US	OH	2
Waipahu		US	HI	2
Wake Forest		US	NC	2
Wheeling		US	IL	2
Whitley Bay		GB	ENG	2
Woodlawn		US	MD	2
Winter Haven		US	FL	2
Wilhelmstadt		DE	16	2
Würselen	Wuerselen	DE	07	2
Whitestone		US	NY	2
Wermelskirchen		DE	07	2
Westfield		US	IN	2
Wilmslow		GB	ENG	2
Wołomin	Wolomin	PL	78	2
Woodhaven		US	NY	2
Watari		JP	24	2
Włochy	Wlochy	PL	78	2
West Hollywood		US	CA	2
West Torrington		US	CT	2
Willowbrook		US	CA	2
Walkden		GB	ENG	2
Wildwood		US	MO	2
Waregem		BE	VLG	2
Wesseling		DE	07	2
Wildomar		US	CA	2
Wentzville		US	MO	2
Wangon		ID	07	2
Wageningen		NL	03	2
Wāris Alīganj	Waris Aliganj	IN	34	2
Winter Springs		US	FL	2
West Little River		US	FL	2
Wernigerode		DE	14	2
West Lake Sammamish		US	WA	2
Wigston Magna		GB	ENG	2
Wenatchee		US	WA	2
West Fargo		US	ND	2
Wednesfield		GB	ENG	2
Waxahachie		US	TX	2
Woodridge		US	IL	2
Windsor		GB	ENG	2
Williamsburg		US	NY	2
Wickford		GB	ENG	2
Wai		IN	16	2
Washwood Heath		GB	ENG	2
West Lawn		US	IL	2
Wijchen		NL	03	2
Winsen		DE	06	2
Wisbech		GB	ENG	2
Westlake		US	OH	2
Walla Walla		US	WA	2
West Englewood		US	IL	2
Werl		DE	07	2
Wavre		BE	WAL	2
Wedel		DE	10	2
Watertown		US	MA	2
Westmont		US	CA	2
West Bend		US	WI	2
Willingboro		US	NJ	2
Wankyi		GH	13	2
Wheat Ridge		US	CO	2
Wevelgem		BE	VLG	2
Wayne		US	PA	2
Werne		DE	07	2
Wattala		LK	36	2
Wādi	Wadi	IN	19	2
Westfield		US	NJ	2
Wishaw		GB	SCT	2
Winsford		GB	ENG	2
Walajapet		IN	25	2
Walnut		US	CA	2
Waltrop		DE	07	2
Whitstable		GB	ENG	2
West Warwick		US	RI	2
Wittenberg		DE	14	2
Winter Park		US	FL	1
Woodstock		US	GA	1
Westchester		US	FL	1
Weißenfels	Weissenfels	DE	14	1
Waterloo		BE	WAL	1
Waegwan		KR	14	1
Winterswijk		NL	03	1
Wegberg		DE	07	1
Weil am Rhein		DE	01	1
West Falls Church		US	VA	1
Williamsport		US	PA	1
Wongsorejo		ID	08	1
Warrnambool		AU	07	1
Wetter (Ruhr)		DE	07	1
Witney		GB	ENG	1
Wittenau		DE	16	1
West Kelowna		CA	02	1
Windsor		US	CT	1
Weatherford		US	TX	1
West Elkridge		US	MD	1
Września	Wrzesnia	PL	86	1
Warstein		DE	07	1
West Islip		US	NY	1
Wellesley		US	MA	1
Winchester		US	NV	1
West Springfield		US	MA	1
Winnenden		DE	01	1
West Scarborough		US	ME	1
Wheeling		US	WV	1
Waddān	Waddan	LY	64	1
Willenhall		GB	ENG	1
Windsor		US	CA	1
West Chicago		US	IL	1
Wilmette		US	IL	1
Winchester		US	VA	1
Wamba		NG	56	1
Workington		GB	ENG	1
Winona		US	MN	1
Wangen		DE	01	1
Williston		US	ND	1
West Milford		US	NJ	1
Werota		ET	46	1
Watertown		US	NY	1
Wooster		US	OH	1
Wethersfield		US	CT	1
Wyszków	Wyszkow	PL	78	1
West Linn		US	OR	1
Wete		TZ	13	1
Westport		US	CT	1
