Jakarta		ID	04	569
Jinan		CN	25	289
Jeddah		SA	14	191
Jaipur		IN	24	180
Johannesburg		ZA	06	135
Jilin		CN	05	125
Juárez	Juarez	MX	06	88
Jabalpur		IN	35	68
Jieyang		CN	30	66
Jodhpur		IN	24	61
Jacksonville		US	FL	57
Jos		NG	49	54
Johor Bahru		MY	01	53
Jerusalem		IL	06	53
Jalandhar		IN	23	52
Jeonju		KR	03	47
Jaboatão	Jaboatao	BR	30	46
João Pessoa	Joao Pessoa	BR	17	43
Jaboatão dos Guararapes	Jaboatao dos Guararapes	BR	30	42
Jamshedpur		IN	38	41
Jinzhou		CN	19	40
Jiamusi		CN	08	36
Jiangmen		CN	30	35
Jiaozuo		CN	09	34
Jamnagar		IN	09	32
Jianshui		CN	29	32
Jiaojiang		CN	02	31
Juiz de Fora		BR	15	31
Jiaxing		CN	02	31
Jammu		IN	12	31
Joinville		BR	26	30
Jining		CN	25	30
Juba		SS	11550569	30
Jalgaon		IN	16	28
Jambi City		ID	05	28
Jhānsi	Jhansi	IN	36	27
Jeju City		KR	01	27
Jixi		CN	08	26
Jhang Sadr		PK	04	22
Jincheng		CN	24	22
Jundiaí	Jundiai	BR	27	21
Jingdezhen		CN	03	20
Jember		ID	08	19
Jersey City		US	NJ	17
Jālna	Jalna	IN	16	17
Jiujiang		CN	03	17
Jining		CN	20	17
Jimeta		NG	35	16
Juliaca		PE	21	16
Ji’an	Ji'an	CN	03	16
Jessore		BD	82	16
José C. Paz	Jose C. Paz	AR	01	15
Juazeiro do Norte		BR	06	15
Jingling		CN	12	14
Jamaica		US	NY	14
Jinzhou		CN	19	14
Jacareí	Jacarei	BR	27	14
Jerez de la Frontera		ES	51	13
Jōetsu	Joetsu	JP	29	13
Jalālābād	Jalalabad	AF	18	13
Jamaame		SO	09	12
Jūnāgadh	Junagadh	IN	09	12
Jingzhou		CN	12	11
Jiutai		CN	05	11
Jackson		US	MS	11
Jacobabad		PK	05	11
Jaunpur		IN	36	11
Jaffna		LK	38	11
Jabālyā	Jabalya	PS	GZ	11
Jamālpur	Jamalpur	BD	H	11
Jingmen		CN	12	11
